date,sentiment,win_rate
2025-01-04,Greed,0.00
2025-01-04,Greed,0.00
2025-01-04,Greed,3.92
2025-01-04,Greed,100.00
2025-01-04,Greed,68.42
2025-01-05,Greed,53.66
2025-01-05,Greed,10.53
2025-01-05,Greed,21.05
2025-01-05,Greed,0.00
2025-01-05,Greed,100.00
2025-01-05,Greed,0.00
2025-01-05,Greed,17.65
2025-01-05,Greed,96.97
2025-01-08,Greed,57.05
2025-01-08,Greed,0.00
2025-01-08,Greed,31.55
2025-01-08,Greed,0.00
2025-01-08,Greed,0.00
2025-01-08,Greed,100.00
2025-01-08,Greed,91.84
2025-01-08,Greed,0.00
2025-01-08,Greed,32.82
2025-01-08,Greed,0.00
2025-01-08,Greed,95.45
2025-01-09,Greed,47.57
2025-01-09,Greed,18.95
2025-01-09,Greed,58.33
2025-01-09,Greed,100.00
2025-01-09,Greed,0.00
2025-01-09,Greed,0.00
2025-01-09,Greed,9.46
2025-01-11,Greed,43.24
2025-01-11,Greed,0.00
2025-01-11,Greed,17.95
2025-01-11,Greed,35.53
2025-01-11,Greed,0.00
2025-01-11,Greed,20.73
2025-01-11,Greed,22.22
2025-01-12,Greed,61.90
2025-01-12,Greed,100.00
2025-01-12,Greed,13.64
2025-01-12,Greed,100.00
2025-01-12,Greed,45.33
2025-01-12,Greed,0.00
2025-01-12,Greed,0.00
2025-01-13,Greed,0.00
2025-01-13,Greed,31.15
2025-01-13,Greed,0.00
2025-01-13,Greed,11.94
2025-01-13,Greed,0.00
2025-01-13,Greed,55.67
2025-01-13,Greed,0.00
2025-01-13,Greed,94.00
2025-01-13,Greed,100.00
2025-01-13,Greed,44.83
2025-01-13,Greed,0.00
2025-01-14,Greed,80.95
2025-01-14,Greed,0.00
2025-01-14,Greed,31.65
2025-01-14,Greed,40.48
2025-01-14,Greed,44.44
2025-01-14,Greed,23.08
2025-01-14,Greed,100.00
2025-01-14,Greed,0.00
2025-01-14,Greed,62.69
2025-01-15,Greed,42.11
2025-01-15,Greed,25.00
2025-01-15,Greed,0.00
2025-01-15,Greed,37.50
2025-01-15,Greed,57.53
2025-01-15,Greed,100.00
2025-01-15,Greed,43.75
2025-01-15,Greed,0.00
2025-01-15,Greed,100.00
2025-01-15,Greed,0.00
2025-01-15,Greed,37.50
2025-01-26,Greed,45.28
2025-01-26,Greed,88.89
2025-01-26,Greed,29.09
2025-01-26,Greed,0.00
2025-01-26,Greed,66.67
2025-01-26,Greed,21.88
2025-01-26,Greed,48.15
2025-01-27,Greed,0.00
2025-01-27,Greed,42.54
2025-01-27,Greed,40.96
2025-01-27,Greed,0.00
2025-01-27,Greed,0.00
2025-01-27,Greed,0.00
2025-01-27,Greed,95.31
2025-01-27,Greed,0.00
2025-01-27,Greed,0.00
2025-01-27,Greed,58.06
2025-01-27,Greed,0.00
2025-01-27,Greed,100.00
2025-01-27,Greed,0.00
2025-01-27,Greed,100.00
2025-01-27,Greed,1.79
2025-01-28,Greed,100.00
2025-01-28,Greed,49.67
2025-01-28,Greed,62.79
2025-01-28,Greed,54.29
2025-01-28,Greed,91.89
2025-01-28,Greed,0.00
2025-01-28,Greed,0.00
2025-01-28,Greed,68.60
2025-01-29,Greed,0.00
2025-01-29,Greed,50.00
2025-01-29,Greed,21.43
2025-01-29,Greed,77.78
2025-01-29,Greed,0.00
2025-01-29,Greed,0.00
2025-01-29,Greed,42.77
2025-01-29,Greed,0.00
2025-01-29,Greed,72.37
2025-01-30,Greed,100.00
2025-01-30,Greed,63.95
2025-01-30,Greed,40.00
2025-01-30,Greed,43.18
2025-01-30,Greed,46.67
2025-01-30,Greed,100.00
2025-01-30,Greed,82.09
2025-01-30,Greed,0.00
2025-01-30,Greed,0.00
2025-01-30,Greed,0.89
2025-01-30,Greed,29.48
2025-02-01,Greed,32.05
2025-02-01,Greed,41.18
2025-02-01,Greed,57.14
2025-02-01,Greed,69.70
2025-02-01,Greed,0.00
2025-02-01,Greed,0.00
2025-02-01,Greed,77.03
2025-02-01,Greed,0.00
2025-02-01,Greed,48.33
2025-02-01,Greed,100.00
2025-02-01,Greed,27.27
2025-02-01,Greed,71.12
2025-02-02,Greed,90.00
2025-02-02,Greed,45.07
2025-02-02,Greed,5.49
2025-02-02,Greed,25.00
2025-02-02,Greed,0.00
2025-02-02,Greed,0.00
2025-02-02,Greed,0.00
2025-02-02,Greed,0.00
2025-02-02,Greed,25.00
2025-02-02,Greed,44.38
2025-02-02,Greed,0.00
2025-02-02,Greed,80.68
2025-02-02,Greed,29.01
2025-02-03,Fear,30.51
2025-02-03,Fear,60.00
2025-02-03,Fear,40.11
2025-02-03,Fear,74.93
2025-02-03,Fear,80.67
2025-02-03,Fear,0.00
2025-02-03,Fear,48.55
2025-02-03,Fear,40.00
2025-02-03,Fear,100.00
2025-02-03,Fear,34.50
2025-02-03,Fear,100.00
2025-02-03,Fear,42.46
2025-02-04,Greed,15.63
2025-02-04,Greed,35.42
2025-02-04,Greed,47.06
2025-02-04,Greed,100.00
2025-02-04,Greed,0.00
2025-02-04,Greed,97.37
2025-02-04,Greed,0.00
2025-02-04,Greed,47.12
2025-02-04,Greed,0.00
2025-02-04,Greed,18.88
2025-02-04,Greed,36.01
