date,sentiment,losing_day
2024-12-30,Greed,0
2024-12-30,Greed,0
2024-12-30,Greed,0
2024-12-30,Greed,0
2024-12-31,Greed,0
2024-12-31,Greed,0
2024-12-31,Greed,0
2024-12-31,Greed,0
2024-12-31,Greed,0
2024-12-31,Greed,0
2025-01-01,Greed,0
2025-01-01,Greed,1
2025-01-01,Greed,0
2025-01-01,Greed,0
2025-01-01,Greed,0
2025-01-01,Greed,0
2025-01-02,Greed,0
2025-01-02,Greed,0
2025-01-02,Greed,0
2025-01-02,Greed,0
2025-01-02,Greed,0
2025-01-02,Greed,0
2025-01-02,Greed,0
2025-01-02,Greed,0
2025-01-02,Greed,0
2025-01-03,Greed,0
2025-01-03,Greed,0
2025-01-03,Greed,0
2025-01-03,Greed,0
2025-01-03,Greed,0
2025-01-03,Greed,0
2025-01-03,Greed,0
2025-01-03,Greed,0
2025-01-03,Greed,0
2025-01-04,Greed,0
2025-01-04,Greed,0
2025-01-04,Greed,0
2025-01-04,Greed,0
2025-01-04,Greed,0
2025-01-04,Greed,0
2025-01-04,Greed,0
2025-01-04,Greed,0
2025-01-04,Greed,0
2025-01-05,Greed,0
2025-01-05,Greed,0
2025-01-05,Greed,0
2025-01-05,Greed,0
2025-01-05,Greed,0
2025-01-05,Greed,0
2025-01-05,Greed,0
2025-01-05,Greed,0
2025-01-08,Greed,0
2025-01-08,Greed,0
2025-01-08,Greed,0
2025-01-08,Greed,0
2025-01-08,Greed,0
2025-01-08,Greed,0
2025-01-08,Greed,0
2025-01-08,Greed,0
2025-01-08,Greed,0
2025-01-08,Greed,0
2025-01-08,Greed,0
2025-01-09,Greed,0
2025-01-09,Greed,0
2025-01-09,Greed,0
2025-01-09,Greed,0
2025-01-09,Greed,0
2025-01-09,Greed,0
2025-01-09,Greed,0
2025-01-11,Greed,0
2025-01-11,Greed,1
2025-01-11,Greed,0
2025-01-11,Greed,0
2025-01-11,Greed,0
2025-01-11,Greed,0
2025-01-11,Greed,0
2025-01-12,Greed,0
2025-01-12,Greed,0
2025-01-12,Greed,0
2025-01-12,Greed,0
2025-01-12,Greed,0
2025-01-12,Greed,0
2025-01-12,Greed,0
2025-01-13,Greed,0
2025-01-13,Greed,0
2025-01-13,Greed,0
2025-01-13,Greed,0
2025-01-13,Greed,0
2025-01-13,Greed,0
2025-01-13,Greed,0
2025-01-13,Greed,0
2025-01-13,Greed,0
2025-01-13,Greed,0
2025-01-13,Greed,0
2025-01-14,Greed,0
2025-01-14,Greed,0
2025-01-14,Greed,0
2025-01-14,Greed,0
2025-01-14,Greed,0
2025-01-14,Greed,0
2025-01-14,Greed,0
2025-01-14,Greed,0
2025-01-14,Greed,0
2025-01-15,Greed,0
2025-01-15,Greed,1
2025-01-15,Greed,0
2025-01-15,Greed,0
2025-01-15,Greed,0
2025-01-15,Greed,0
2025-01-15,Greed,0
2025-01-15,Greed,0
2025-01-15,Greed,0
2025-01-15,Greed,0
2025-01-15,Greed,0
2025-01-26,Greed,0
2025-01-26,Greed,0
2025-01-26,Greed,0
2025-01-26,Greed,0
2025-01-26,Greed,0
2025-01-26,Greed,0
2025-01-26,Greed,0
2025-01-27,Greed,0
2025-01-27,Greed,0
2025-01-27,Greed,0
2025-01-27,Greed,0
2025-01-27,Greed,0
2025-01-27,Greed,0
2025-01-27,Greed,0
2025-01-27,Greed,0
2025-01-27,Greed,0
2025-01-27,Greed,0
2025-01-27,Greed,0
2025-01-27,Greed,0
2025-01-27,Greed,0
2025-01-27,Greed,0
2025-01-27,Greed,1
2025-01-28,Greed,0
2025-01-28,Greed,0
2025-01-28,Greed,0
2025-01-28,Greed,0
2025-01-28,Greed,0
2025-01-28,Greed,0
2025-01-28,Greed,0
2025-01-28,Greed,0
2025-01-29,Greed,0
2025-01-29,Greed,0
2025-01-29,Greed,0
2025-01-29,Greed,0
2025-01-29,Greed,0
2025-01-29,Greed,0
2025-01-29,Greed,0
2025-01-29,Greed,0
2025-01-29,Greed,0
2025-01-30,Greed,0
2025-01-30,Greed,0
2025-01-30,Greed,0
2025-01-30,Greed,0
2025-01-30,Greed,0
2025-01-30,Greed,0
2025-01-30,Greed,0
2025-01-30,Greed,0
2025-01-30,Greed,0
2025-01-30,Greed,0
2025-01-30,Greed,0
2025-02-01,Greed,0
2025-02-01,Greed,0
2025-02-01,Greed,0
2025-02-01,Greed,0
2025-02-01,Greed,0
2025-02-01,Greed,0
2025-02-01,Greed,0
2025-02-01,Greed,0
2025-02-01,Greed,0
2025-02-01,Greed,0
2025-02-01,Greed,0
2025-02-01,Greed,0
2025-02-02,Greed,0
2025-02-02,Greed,0
2025-02-02,Greed,1
2025-02-02,Greed,1
2025-02-02,Greed,0
2025-02-02,Greed,0
2025-02-02,Greed,0
2025-02-02,Greed,0
2025-02-02,Greed,0
2025-02-02,Greed,0
2025-02-02,Greed,0
2025-02-02,Greed,0
2025-02-02,Greed,1
2025-02-03,Fear,0
2025-02-03,Fear,0
2025-02-03,Fear,0
2025-02-03,Fear,0
2025-02-03,Fear,0
2025-02-03,Fear,0
2025-02-03,Fear,0
2025-02-03,Fear,0
2025-02-03,Fear,0
2025-02-03,Fear,0
2025-02-03,Fear,0
2025-02-03,Fear,0
2025-02-04,Greed,0
2025-02-04,Greed,0
2025-02-04,Greed,0
2025-02-04,Greed,0
2025-02-04,Greed,0
2025-02-04,Greed,0
2025-02-04,Greed,0
2025-02-04,Greed,0
2025-02-04,Greed,0
2025-02-04,Greed,0
2025-02-04,Greed,0
2025-02-04,Greed,0
2025-02-04,Greed,0
2025-02-07,Fear,0
2025-02-07,Fear,1
2025-02-07,Fear,0
2025-02-07,Fear,0
2025-02-07,Fear,0
2025-02-07,Fear,0
2025-02-07,Fear,0
2025-02-07,Fear,0
2025-02-07,Fear,0
2025-02-07,Fear,0
2025-02-07,Fear,0
2025-02-07,Fear,0
2025-02-07,Fear,0
2025-02-08,Fear,0
2025-02-08,Fear,0
2025-02-08,Fear,0
2025-02-08,Fear,0
2025-02-08,Fear,0
2025-02-08,Fear,0
2025-02-08,Fear,0
2025-02-08,Fear,0
2025-02-08,Fear,0
2025-02-08,Fear,1
2025-02-10,Fear,0
2025-02-10,Fear,0
2025-02-10,Fear,0
2025-02-10,Fear,0
2025-02-10,Fear,0
2025-02-10,Fear,0
2025-02-10,Fear,0
2025-02-10,Fear,0
2025-02-10,Fear,0
2025-02-10,Fear,0
2025-02-10,Fear,0
2025-02-10,Fear,0
2025-02-10,Fear,0
2025-02-10,Fear,0
2025-02-19,Fear,0
2025-02-19,Fear,0
2025-02-19,Fear,0
2025-02-19,Fear,0
2025-02-19,Fear,0
2025-02-19,Fear,0
2025-02-19,Fear,0
2025-02-19,Fear,0
2025-02-19,Fear,0
2025-02-19,Fear,0
2025-02-21,Greed,0
2025-02-21,Greed,0
2025-02-21,Greed,1
2025-02-21,Greed,0
2025-02-21,Greed,0
2025-02-21,Greed,0
2025-02-21,Greed,0
2025-02-21,Greed,0
2025-02-21,Greed,0
2025-02-21,Greed,0
2025-02-21,Greed,0
2025-02-21,Greed,0
2025-02-21,Greed,0
2025-02-21,Greed,0
2025-02-25,Fear,0
2025-02-25,Fear,1
2025-02-25,Fear,0
2025-02-25,Fear,0
2025-02-25,Fear,0
2025-02-25,Fear,0
2025-02-25,Fear,0
2025-02-25,Fear,0
2025-02-25,Fear,0
2025-02-25,Fear,0
2025-02-25,Fear,0
2025-02-25,Fear,0
2025-02-25,Fear,0
2025-02-25,Fear,0
2025-02-25,Fear,0
2025-02-25,Fear,0
2025-02-25,Fear,0
2025-02-25,Fear,1
2025-03-02,Fear,0
2025-03-02,Fear,0
2025-03-02,Fear,0
2025-03-02,Fear,0
2025-03-02,Fear,0
2025-03-02,Fear,0
2025-03-02,Fear,0
2025-03-02,Fear,0
2025-03-02,Fear,1
2025-03-02,Fear,0
2025-03-03,Fear,0
2025-03-03,Fear,0
2025-03-03,Fear,0
2025-03-03,Fear,0
2025-03-03,Fear,0
2025-03-03,Fear,0
2025-03-03,Fear,0
2025-03-03,Fear,1
2025-03-03,Fear,0
2025-03-03,Fear,0
2025-03-03,Fear,0
2025-03-03,Fear,0
2025-03-03,Fear,0
2025-03-03,Fear,0
2025-03-06,Fear,0
2025-03-06,Fear,0
2025-03-06,Fear,0
2025-03-06,Fear,0
2025-03-06,Fear,0
2025-03-06,Fear,0
2025-03-06,Fear,0
2025-03-06,Fear,0
2025-03-06,Fear,0
2025-03-06,Fear,0
2025-03-06,Fear,0
2025-03-06,Fear,0
2025-03-07,Fear,0
2025-03-07,Fear,0
2025-03-07,Fear,0
2025-03-07,Fear,0
2025-03-07,Fear,0
2025-03-07,Fear,0
2025-03-07,Fear,0
2025-03-07,Fear,0
2025-03-07,Fear,0
2025-03-07,Fear,0
2025-03-07,Fear,0
2025-03-07,Fear,0
2025-03-07,Fear,0
2025-03-07,Fear,0
2025-03-08,Fear,0
2025-03-08,Fear,0
2025-03-08,Fear,0
2025-03-08,Fear,0
2025-03-08,Fear,0
2025-03-08,Fear,0
2025-03-08,Fear,0
2025-03-08,Fear,0
2025-03-08,Fear,0
2025-03-08,Fear,1
2025-03-08,Fear,0
2025-03-08,Fear,0
2025-03-08,Fear,0
2025-03-09,Fear,0
2025-03-09,Fear,0
2025-03-09,Fear,0
2025-03-09,Fear,0
2025-03-09,Fear,0
2025-03-09,Fear,0
2025-03-09,Fear,0
2025-03-09,Fear,0
2025-03-09,Fear,0
2025-03-09,Fear,0
2025-03-09,Fear,0
2025-03-09,Fear,0
2025-03-12,Fear,0
2025-03-12,Fear,0
2025-03-12,Fear,0
2025-03-12,Fear,0
2025-03-12,Fear,0
2025-03-12,Fear,0
2025-03-12,Fear,1
2025-03-12,Fear,0
2025-03-12,Fear,0
2025-03-12,Fear,0
2025-03-12,Fear,0
2025-03-12,Fear,1
2025-03-12,Fear,0
2025-03-14,Fear,0
2025-03-14,Fear,0
2025-03-14,Fear,0
2025-03-14,Fear,0
2025-03-14,Fear,0
2025-03-14,Fear,0
2025-03-14,Fear,0
2025-03-14,Fear,0
2025-03-14,Fear,0
2025-03-14,Fear,1
2025-03-16,Fear,0
2025-03-16,Fear,1
2025-03-16,Fear,0
2025-03-16,Fear,0
2025-03-16,Fear,0
2025-03-16,Fear,1
2025-03-16,Fear,1
2025-03-16,Fear,0
2025-03-17,Fear,0
2025-03-17,Fear,0
2025-03-17,Fear,1
2025-03-17,Fear,0
2025-03-17,Fear,0
2025-03-17,Fear,0
2025-03-17,Fear,0
2025-03-17,Fear,1
2025-03-17,Fear,0
2025-03-17,Fear,0
2025-03-17,Fear,0
2025-03-18,Fear,0
2025-03-18,Fear,0
2025-03-18,Fear,0
2025-03-18,Fear,0
2025-03-18,Fear,0
2025-03-18,Fear,0
2025-03-18,Fear,0
2025-03-18,Fear,0
2025-03-18,Fear,0
2025-03-18,Fear,0
2025-03-18,Fear,0
2025-03-18,Fear,1
2025-03-18,Fear,0
2025-03-19,Fear,0
2025-03-19,Fear,0
2025-03-19,Fear,0
2025-03-19,Fear,1
2025-03-19,Fear,0
2025-03-19,Fear,0
2025-03-19,Fear,0
2025-03-19,Fear,0
2025-03-19,Fear,0
2025-03-19,Fear,0
2025-03-19,Fear,0
2025-03-19,Fear,0
