date,sentiment,daily_pnl
2024-07-17,Greed,0
2024-07-17,Greed,1859.2694754434924
2024-07-17,Greed,0
2024-07-18,Greed,2569.9799728393555
2024-07-18,Greed,1233.9043636322021
2024-07-19,Greed,2120.0913524627686
2024-07-19,Greed,35.79975128173828
2024-07-20,Greed,129.6613006591797
2024-07-20,Greed,2169.5082981437445
2024-07-21,Greed,0
2024-07-21,Greed,-2960.7168914079666
2024-07-22,Greed,2273.293034553528
2024-07-22,Greed,-756.1731355153024
2024-07-23,Greed,88084.99164676666
2024-07-23,Greed,0
2024-07-23,Greed,1805.309859648347
2024-07-24,Greed,0
2024-07-24,Greed,0
2024-07-24,Greed,0
2024-07-24,Greed,625.5614807605743
2024-07-24,Greed,0
2024-07-25,Greed,0
2024-07-25,Greed,0
2024-07-25,Greed,916.7382593154907
2024-07-26,Greed,0
2024-07-26,Greed,0
2024-07-26,Greed,341.25012042187154
2024-07-26,Greed,2425.2629835009575
2024-07-27,Greed,6400.62364757061
2024-07-27,Greed,0
2024-07-28,Greed,0
2024-07-28,Greed,587.2990334033966
2024-07-29,Greed,217.85753083229065
2024-07-29,Greed,112.94692516326904
2024-07-30,Greed,0
2024-07-31,Greed,0
2024-07-31,Greed,765.6908872723579
2024-08-02,Greed,0
2024-08-02,Greed,228.2477004379034
2024-08-02,Greed,554.1205081939697
2024-08-03,Fear,0
2024-08-03,Fear,0
2024-08-03,Fear,464.189697265625
2024-08-03,Fear,0
2024-08-03,Fear,0
2024-08-04,Fear,0
2024-08-04,Fear,-108604.49595338106
2024-08-04,Fear,109.0058126449585
2024-08-04,Fear,-14176.510498046875
2024-08-04,Fear,0
2024-08-05,Fear,-4779.218933105469
2024-08-05,Fear,160.44370079040527
2024-08-05,Fear,0
2024-08-05,Fear,-8394.890017315745
2024-08-07,Fear,0
2024-08-07,Fear,0
2024-08-07,Fear,188.78925305604935
2024-08-10,Fear,0
2024-08-10,Fear,0
2024-08-11,Fear,847.776611328125
2024-08-11,Fear,0
2024-08-12,Fear,0
2024-08-12,Fear,858.6704839468002
2024-08-12,Fear,0
2024-08-13,Fear,0
2024-08-13,Fear,0
2024-08-13,Fear,212.0810191631317
2024-08-14,Fear,0
2024-08-14,Fear,2168.901470184326
2024-08-14,Fear,0
2024-08-15,Fear,0
2024-08-16,Fear,0
2024-08-16,Fear,825.2305603027344
2024-08-17,Fear,0
2024-08-17,Fear,-288.2831115722656
2024-08-18,Fear,307.2018887475133
2024-08-18,Fear,0
2024-08-19,Fear,339.6995825767517
2024-08-20,Fear,192.60284423828125
2024-08-20,Fear,0
2024-08-21,Fear,656.2009209766984
2024-08-21,Fear,0
2024-08-23,Fear,1005.3052635192871
2024-08-24,Greed,0
2024-08-24,Greed,0
2024-08-26,Greed,231.2369155883789
2024-08-26,Greed,0
2024-08-28,Fear,0
2024-08-28,Fear,1333.3596801757812
2024-08-29,Fear,0
2024-08-30,Fear,0
2024-08-30,Fear,0
2024-08-30,Fear,0
2024-08-30,Fear,256.4639892578125
2024-08-31,Fear,0
2024-08-31,Fear,10.882800877094269
2024-08-31,Fear,0
2024-09-01,Fear,137.43309116363525
2024-09-02,Fear,0
2024-09-04,Fear,0
2024-09-04,Fear,1065.7850036621094
2024-09-05,Fear,0
2024-09-08,Fear,0
2024-09-09,Fear,0
2024-09-10,Fear,-219.7296600341797
2024-09-10,Fear,0
2024-09-11,Fear,0
2024-09-25,Greed,0
2024-09-25,Greed,0
2024-09-27,Greed,0
2024-09-27,Greed,0
2024-09-28,Greed,0
2024-09-30,Greed,2710.6262817382812
2024-09-30,Greed,0
2024-10-02,Fear,0
2024-10-03,Fear,100.37578105926514
2024-10-03,Fear,0
2024-10-04,Fear,0
2024-10-10,Fear,0
2024-10-11,Fear,0
2024-10-11,Fear,8885.327645301819
2024-10-15,Greed,1170.2260580062866
2024-10-16,Greed,219.4808807373047
2024-10-17,Greed,36.11496067047119
2024-10-17,Greed,0
2024-10-18,Greed,333.2191380262375
2024-10-19,Greed,0
2024-10-20,Greed,229.06052112579346
2024-10-20,Greed,160.09527206420898
2024-10-21,Greed,0
2024-10-21,Greed,2464.915579892695
2024-10-22,Greed,0
2024-10-23,Greed,-46.48994064331055
2024-10-25,Greed,4543.862152099609
2024-10-25,Greed,8691.999932289124
2024-10-27,Greed,666.6622791290283
